game_id,rating
2,1982.4782158656542
7,1987.8747414443108
11,1730.471419617268
14,1677.9639793537488
27,1970.9717128208256
28,1905.7360754396036
32,1862.4696846810427
40,1917.776563467593
41,1926.4550597359616
44,2100.0678754063656
55,1973.7682602619225
57,1998.050893876049
60,2018.5597186465486
61,1965.6474210211754
62,1779.1702410733355
63,1987.8747414443108
65,1896.9743275355288
68,1921.3872125475373
69,1824.4872208933348
70,1951.1556915308604
78,1972.8654050634916
82,1977.8889305464363
85,2008.068713631845
86,1970.9717128208256
90,1501.2274496727985
91,2012.8766584099296
92,1974.0068819207354
93,1903.9080545874317
94,2026.553005586614
100,1512.1585095615771
102,1846.5887547178813
103,1987.3149802268472
107,1777.6140651968672
110,1833.518831972048
119,2060.897967961906
121,1922.597912255347
125,1855.2803813035011
130,1796.771676693847
131,2060.897967961906
135,1987.9454103290432
137,1987.8747414443108
138,2098.333634588388
139,1983.8277948689192
145,1964.2535203367768
151,1839.0799001892672
152,1832.7892760567265
155,1981.2203754812974
161,1983.2560514712213
162,2030.984935995554
167,1837.2144529802392
168,1667.514787360602
173,1920.2398135194335
175,1968.5159177872374
177,2008.3368946305015
184,1538.7888437855045
188,1614.306874950183
191,1654.3876058644055
195,2060.897967961906
198,1841.4249691412908
200,1879.71510367956
201,2098.5945504132346
206,1986.9712273945368
207,1974.0068819207354
208,1834.9534538690577
212,2060.968636846638
213,2060.897967961906
219,1837.281104910809
221,1769.1952728940696
223,1797.4202404173543
230,2098.333634588388
231,1812.5218657056002
232,1968.445248902505
235,2046.8716383386673
238,1966.2392010690012
239,2052.2827559799157
240,1916.4155347431515
243,1796.781467980431
244,1916.0455139662488
251,2062.245418104434
255,1654.9667479251639
256,1770.6746426721943
258,1971.079244546997
259,2039.9407987660397
261,1756.3296239294245
262,1896.0024831824646
263,1484.6735129725234
264,1976.0268710780474
265,1509.931372356173
269,2053.4855616005966
270,2057.7490777515945
273,1819.6593986884996
276,1918.0313975679167
278,1905.7504823132201
281,1819.6593986884996
285,1968.994043869066
286,1931.6397624368228
288,2139.735933475758
291,1929.9204036642373
295,1428.7749883389663
296,1824.4954620686135
305,1896.0024831824646
307,1905.7360754396036
309,1895.2429498298109
310,1719.0253122809784
312,1920.9024510075808
320,1974.0068819207354
322,1752.2684706353275
323,2028.330377486198
324,1937.2044433505189
327,1771.3893067011202
329,1815.583611889134
330,1917.776563467593
333,2037.3198805646366
334,1748.3477494031056
335,1538.7888437855045
338,1900.9012876255888
342,1819.6593986884996
346,1894.4685623626754
347,1751.2472557952758
350,1975.8445060905358
351,2108.498950294792
354,1711.4367781990704
361,1938.0678713000464
366,2032.1137868622864
369,1952.7585215261388
